country,city,product_name,product_category,campaign_channel,budget_spent,impressions,clicks,conversion_rate,units_sold,campaign_date
Germny#,BERLI   N,PURECLEAN TONER#,,email,17814.38 €,,,0.6%,368,May 4 2023
USA,unkno   wn city,PUrEclEan TONEr,beauty,,7868.41,N/A,11297,??,beaucoup,25-01-2024xx
USA,,purEclEan TONER,SKINCARE,googLEaDs,budget non communique,3208,1154550,0.3107,beaucoup,14/01/25
Germny   ,P@r!s,GlowSerum,beauty,tik    tok,414.43 €,268055,??,??,0,Jul 12 2025
Germny,B3rLin,hydracream,,instagram,budget non communique,,,??,beaucoup,02-11-2025xx
??,beRLiN,GlowSerum!!,,Email,5120.93 €,-4087,19725,30.2%,0,5/6/2099
Deutschland,B3rlin!!,P.   C. Toner,furniture,EMAiL,$23368.96,205396,5068,"0,2673",beaucoup,28-02-2025xx
??$,madrid,PureCleanToner#,SKINCARE,FB,24824.26,481075,4941746,,63071,2024-12-23
   ??,TORONTO,PureCleanTo   ner,,faceBOOK,10429.71 €,N/A,10357,??,-23,Jan 27 2025
JAPAN,berlin@,HydraCr3am@,,Ema   il,,431019,2796651,2.2%,beaucoup,
,MADRID #,hYdRACrEAM,Beauty ,facebook,21 588.67,N/A,356,25.2%,394,May 15 2025
ItAlY,Tokyo_,hydracream,Beauty ,E-mail,13334.64,-2542,15734,0.258,0,2023-07-22
   USA,MADRID ,GlowSer   um,beauty,FB,$7419.01,391528,,,-42,
Jappan$,S√£o pAuLO,hydracream,,E-mail@,5 815.95,282419,,"0,2961",536,03/09/25
Canada,New_York,HYDRA CREAM@,Beauty ,billboard,,295070,969,,705,Sep 10 2025
Jap   an,R   ome,PureC   leanToner,furniture,TikTok,10011.74,447665,12046,??,633,Mar 16 2024
??,tokyO ,PureClean_Toner,furniture,tik_tok,$5115.64,,1567762,??,140740,06/11/25
Canada,PaRIS   ,HydRa CReAM,electronics,TikTo   k,$23166.2,,2406,??,674,Jul 2 2025
japan,,hydrACREam,??,e   mail,24992.58,365300,??,??,-9,
geRmny,PARIS   ,HYdrACR3am,??,tiktok,1 023.36,,960987,"0,337",0,2023-07-16
BRASIl,tokyo,GlowSerum!!?,beauty,Google   Ads,7440.01,,2876337,"0,1115",121779,25/07/23
Ge   rmny,bERlin,pureclean toner#,SKINCARE,insta   gram,$2848.68,356886,4261276,0.4%,528,15-12-2023xx
Jappan,BERLIN   ,P.C. Toner?,SKINCARE,E-mai   l,625.47,495511,,,beaucoup,
Japan,Paris,PUrECLEaN tOner,,Billboard$,3434.62 €,-1784,2543,"0,3108",418,24/2/2099
Deutschland,Tokyo    ,Pure_CleAn_toNEr,furniture,   ??,12649.16,286717,??,2.2%,446830,Nov 4 2024
France?,Ro   ma,GlowSerum!!!!,SKINCARE,google ads,3071.42,N/A,6453,0.2623,-38,
,BER   LIN,H   YDRA CREAM,skincare,inSTAgraM,7903.19 €,254211,1852347,"0,2057",-40,23-04-2025xx
BrazIL,TORO   NTO,Pure_Clean_Toner,,tik tok   ,2 498.42,-1587,,,175,
   Fr@nce,newyork?,Glow_Serum,Skincare,face   book,23 220.21,,19431,??,beaucoup,2024-05-19
Kanada#,Tokyo $,hydracre   am,skincare,   Instagram,$2705.84,-3916,??,??,-17,2025-05-04
unknown   ,New York   ,HydraCream#,skincare,Instagram   ,9 669.49,,,,beaucoup,05/10/24
Germany,Berlin,PureClean Toner@,skincare,billboar   d,21136.89 €,,3353132,??,63,09-02-2025xx
   italy,N3w_Y0Rk,hydracream@,beauty,google_ads,$2248.07,182925,11864,0.2384,0,
Deutschland,Tok   yo ,PureCleanToner,skincare,Instagram,13432.74,378050,2666293,"0,1985",387,19/11/25
Jappan,TOKYO,Gl0w   Serum,,instagram!!,22233.69 €,N/A,??,,beaucoup,Jul 17 2025
bRaSIL,New_York,PURECLEAN TONER#,skincare,Email$,17 432.61,-94,??,"0,2191",beaucoup,
,Tokyo,PURECLEAN_TONER,skincare,TikTok$,,-3192,??,??,668084,4/14/2099
unknown,rome,GlOw_sERUM,skincare,Email,,,??,,beaucoup,
itaLIE,tokyo,Glow   Serum,beauty,TikTok!!,budget non communique,N/A,13506,3.7%,-42,01/07/23
,B3rlin,Pure_Clean_Toner@,,FB,21 083.38,,??,0.214,-49,Aug 23 2024
ITALY,  paris,P.c. tonEr,furniture,gOOgle ADS,,497069,2444751,0.217,beaucoup,Jul 10 2023
UNKNOwn,São_Paulo,hyDracR3AM,Beauty ,INSTAGRAM,8234.42 €,N/A,3801,"0,1416",568722,Mar 18 2025
FRAnCe,T0kyo,HYdracreAm,beauty,insta%,655.32,N/A,??,6.3%,770415,10-06-2024xx
,,,,,,,,,,
Canada,madrid,GlowSerum,electronics,INSTAGRAM,17657.59,258708,10533,0.1514,156,27/11/2099
Canada,R0me,HydraCr3am#,??,tiktok!!,$14057.47,N/A,??,18.4%,0,15-12-2023xx
F   ranse,PARIS   ?,GloW_SERUM,skincare,INSTAGRAM#,17 058.95,-1148,??,0.0426,0,2023-07-26
  I   taly,ToRoNto,GLOW_SERUM,skincare,tiktok,9290.65 €,426461,3961,"0,2273",579,2025-09-16
BRAZIL_,Tokyo ,HydraCr3am,electronics,google ads!!,13923.58,173171,??,0.2183,beaucoup,2024-09-11
Ge   rmny,São_Paulo,HydrAcreAM,Beauty ,E-mail,16462.14 €,N/A,1062762,??,155,Sep 9 2024
Canada,unknown city,glo   wserum,electronics,INSTAGRAM,budget non communique,N/A,6670,,448,02/10/25
Brazil,Paris,HYdRACREAm,electronics,billboard?,19 924.03,115061,4815033,1.2%,451606,2025-11-27
Jappan,sao_paulo!!,PureClean_Toner,,Email,$5989.07,368310,??,0.1194,507077,2023-04-10
i   taly,N   3w_Y0rk,Pure_Clean_Toner,,tiktok   ,,149790,12747,??,-43,11/04/23
unknown%,nEwYork,hYDrA_CReaM,,E-mai   l,2667.72,396838,??,,beaucoup,03-06-2024xx
N/A,B3rlin@,P.C. Toner$,SKINCARE,Billboard#,,402051,12784,"0,2202",59,19/03/25
Brazil$,berlin,P.C._Toner,skincare,TikTok,16650.31 €,-2317,6708,"0,1056",-36,
Germany,,hy   dracream,??,goOgLEads,,-1140,8325,0.0936,beaucoup,May 23 2025
Brazil,Paris,HydraCr3am,beauty,INSTAGRAM,,468976,??,,698,
usa,Berlin   ,GlowSerum!!!!,SKINCARE,tikt   ok,$19279.23,-3958,,1.4%,beaucoup,2024-10-25
Brasil,Roma,hydracream#,skincare,gOOgLEADs,21907.24,381420,4881091,0.1108,-40,16/01/23
  Italy,Tokyo,HydraCr3am#,,GoogleA   ds,21188.53,N/A,3452382,??,374,May 7 2023
spain,Tokyo,GlowSerum,Skincare,E-mail,24539.38,302055,??,??,0,23/10/24
deutsCHlAND,New York!!,gLoWSERUM,beauty,Instagram?,$2664.67,154443,??,0.2062,148119,2025-10-28
usa,R0me?,purecLEANtoNEr,beauty,bILlboaRd,budget non communique,,1122641,24.8%,beaucoup,2024-01-19
Canada,Rome#,HYDRA CREAM?,skincare,,,N/A,16467,20.3%,0,2024-11-02
U.S.A,TOKYO@,Gl0wSerum,,TiKTOK,budget non communique,,??,,723978,2025-06-10
U.S.A   ,TOKYo,Pure_Clean_Toner%,furniture,go   ogle ads,21626.08,N/A,2592,??,0,31/6/2099
Germany,New York,HYDRA_CREAM,electronics,INSTAGRAM$,budget non communique,-4537,3847,12.6%,106087,
GERmAny,Toronto,GLOW SERUM,electronics,instaGRAm,budget non communique,,14875,??,-36,07/10/23
__Italy,P@   r!s,P.C. Toner,furniture,Billboard,17036.71,100603,11248,??,-47,2025-10-07
Brasil,R0me,PURECleAN tONeR,furniture,GoogleA   ds,12 475.98,199320,,??,97234,2025-09-28
Brasil,Berlin,PureCle   an Toner,skincare,TikTok,1185.71,117572,4137383,??,555,6/7/2099
JAPAN$,T0kyo,HydraCr3am,??,   GoogleAds,11 412.35,,12855,0.1967,beaucoup,Oct 25 2024
,PARIS,Glow_Serum%,,instagram,18 324.58,374768,6776,??,260,
Bra   sil,New Y   ork,GlowSerum,SKINCARE,billboard$,21985.31,N/A,7283,"0,2234",0,Jul 10 2023
U.S.A,toronto   ,PurecLEAn TOner,beauty,E-mail,5141.08,N/A,??,??,beaucoup,21/03/23
fr@Nce,P@   r!s,gL0WSeRum,beauty,instagram,$12981.96,-2200,3660,,beaucoup,03-11-2024xx
jAPan,T0kyo,HydraCrea   m,,email?,8156.45 €,331574,,,452806,33/9/2099
,sao_paulo,Gl0wSerum,,InStAgRaM,,156821,??,18.2%,beaucoup,10-07-2025xx
Espa√±a,New York!!,GlowSerum!!,beauty,tiktok,13 461.61,428910,4663435,??,753407,2024-01-22
sPaIN,Rome,GlowSerum!!,,,,-2726,,??,0,2023-03-09
France,SAOPAULO,Hy   dra_Cream,Beauty ,emaIl,,-123,,??,-19,28-02-2023xx
canada,   Toronto,Gl0w   Serum,SKINCARE,facebook%,,401344,12920,"0,2109",404215,1/7/2099
   usa,sao_paulo,gl0WSErUm,SKINCARE,billboard#,$10577.71,408592,,5.9%,beaucoup,17/10/24
Deutschland,B3rlin,Glow_Serum,Skincare,insta@,8967.35,,,,581,11/03/23
italy,MADRID ,GLOW SERUM@,,TikTok$,19723.51,-232,,"0,1569",555811,
Spain,MADRID_,Gl0wSerum,SKINCARE,facebook!!,23708.08,N/A,??,33.0%,0,6/3/2099
Germny?,paris   ,HYDRA CREAM$,Beauty ,E-mail#,19044.29,N/A,13103,,beaucoup,
JAPAN,maDriD ,glowserum,SKINCARE,GOOGlEaDs,$2556.59,N/A,,"0,2854",730,Dec 24 2024
fR@NCE,PARIS___,P.C. TonER,furniture,instagra   m,13 754.03,N/A,1724786,32.5%,beaucoup,9/11/2099
   italy,sÃo pauLO,glowserum%,beauty,Go   ogleAds,23814.24 €,-2856,2382676,??,beaucoup,Oct 18 2024
brASil,tOrONto,pureclean_toner,beauty,T   ikTok,8389.71,,2063742,??,427,19/12/24
USa,   S√£o Paulo,HydraC   ream,Beauty ,Billboard,12551.0 €,-548,??,26.6%,-6,
Brazil,,HydraCr   3am,Beauty ,Billboard,20 617.53,167546,9705,,-22,
Kanada,,GlowSerum,skincare,goo   gle ads,budget non communique,280544,1326853,33.2%,745944,02/02/23
ital   y,NEW Y   ORK,P.C. Toner,beauty,TIk TOk,23421.36 €,,,,729,Mar 16 2023
unknown,T   oronto,GlowSerum,skincare,TIk tOK,budget non communique,-3250,8438,0.2051,490,16-01-2023xx
Brasil,To   ronto,pureclean_toner,,EMaiL,11 271.47,-4480,??,25.8%,-31,10/10/23
N/A,,G   l0wSerum,,GoogleAds?,$24180.98,N/A,4650322,"0,0971",beaucoup,
U.S.A,newyork@,P.C._Toner,skincare,tikt   ok,,-1551,16348,"0,1194",-3,3/11/2099
Us   aa,un   known city,HYDRACReAM,,Billboard,22 222.66,,16284,8.7%,-15,43/13/2099
France,newyork,PURECLEAN_TONER,skincare,Billboard$,budget non communique,128636,??,0.225,299,
Italie,paris,Hy   draCr3am,,billboard   ,budget non communique,235298,1994240,,beaucoup,Mar 19 2024
ItaLy,  Paris,Glow_Serum!!,beauty,tiktok,budget non communique,153027,??,"0,3386",beaucoup,Oct 25 2024
spain#,TORoNto,HydraCream#,electronics,,budget non communique,465695,16926,34.6%,beaucoup,23/9/2099
Deutsc   hland,madriD ,GlowSerum,electronics,instA,budget non communique,154200,19188,"0,1701",0,
   germany,N3w_Y0rk?,p.C. toNEr,SKINCARE,emAiL,18709.96,-1690,8410,,beaucoup,Nov 10 2023
Italie,tokYO ,hydracream,??,facebook!!,6434.95,46464,,"0,3238",777489,
   Spain,unkn   own city,Glow_Serum,SKINCARE,GoogleAds,5500.86,431997,1152,18.3%,294362,Sep 5 2024
JapaN,PARIS___,GlOW_SEruM,Skincare,BILLboaRD,5648.18,N/A,2988,,-25,27/11/25
Fr@nce,N3w_Y0rk,Gl0wSerum,SKINCARE,INstA,10926.29 €,337155,??,6.1%,183,Sep 6 2024
ITALY#,Sao Paulo?,puREcLEAN tonEr,furniture,email?,,300794,??,??,637,Jul 4 2023
   Brasil,sao_   paulo,PureClea   n Toner,,INSTAGRAM#,2 718.10,N/A,2883518,"0,2174",0,
Es   pa√±a,toronto,PureClEaN ToNeR,furniture,b   illboard,23 851.35,,1717390,7.0%,4,03/03/24
jApan,Sã   o Paulo,hydracream,,   google ads,4443.38,168607,2819180,"0,1547",beaucoup,17-06-2025xx
Fr@nce,,Gl0wS   erum,Skincare,e   mail,455.51,,??,??,0,43/12/2099
Brazil,São    Paulo,GlowSerum@,beauty,   Email,18545.68 €,N/A,,??,0,2025-04-13
__Italy,BERLIN,PUREC   LEAN TONER,,,328.96,-3625,4802,0.128,615879,24/1/2099
Spain%,,Gl0wSerum$,,FB$,budget non communique,-4421,,8.6%,0,02-08-2025xx
france$,SAOPAULO,Pure_C   lean_Toner,,iNSTAgRAm,4830.04 €,,13757,"0,2519",0,2025-12-08
JaPan,New_York?,pUrEcLeantOnEr,furniture,TikTok,$12353.94,N/A,2025333,0.2461,989846,40/15/2099
Germany,B3rlin,PUReClEAntonER,,FB@,,68263,2015480,,-17,
U.S.a,Rome@,PureClean   Toner,furniture,GoOgleAdS,141.09,289229,??,34.7%,beaucoup,14/5/2099
USA,tOKYo,glowserum,Skincare,tiK tok,budget non communique,,,"0,2854",-34,13-05-2025xx
JAPAN,b   erlin,Gl0wSerum%,skincare,Billboard,budget non communique,,??,0.1822,-48,
germany$,NEw york,Pure_Clean_Toner#,furniture,GoogleAds,budget non communique,N/A,,1.0%,0,21-06-2023xx
itaLIe,Paris$,GLOW_seRUm,,E-mail,15701.48 €,-2711,2373,??,beaucoup,27-05-2025xx
Brasil,S√£o Paulo,glOwSeRuM,Skincare,BILlboArd,1551.3 €,N/A,4246,0.1908,427102,
Japan,Paris,pureclean toner,furniture,email,$9946.17,148849,15332,,236,17/10/2099
Spain,,Hydra_Cream,skincare,   FB,19 974.45,N/A,??,34.9%,-1,28/07/25
N/A   ,PARIS   #,glowserum   ,beauty,insta%,8 182.42,375237,4571,"0,1098",0,33/11/2099
USA,tokyo,Hydra_Cream,,INSTAGRAM,,240780,6745,0.4%,67334,25-09-2024xx
Brasil,unknown city,PURECLEAN    TONER,furniture,E-mail,budget non communique,-2090,??,0.2647,0,04/08/24
braz   il,mADRID,GlowSerum!!,,E-mail,18030.01 €,385627,1134,9.2%,862968,18/10/23
Italie@,T0kyo,Gl0wSerum%,electronics,t   iktok,9671.95 €,169771,2137084,0.1789,beaucoup,2023-05-23
  Italy   ,tokyo,gl0wSerUm,,ema   il,345.69,85094,17459,"0,0593",-1,34/14/2099
fraNCe,PaRIs,HydraCr3am@,electronics,Instagram,,,4034634,0.299,-24,
France@,Paris,gLOwSeRUm!!,beauty,emAiL,$16913.25,-741,8918,??,beaucoup,10-02-2023xx
??,ToroNTo,HYdrA cReaM,,insta,10218.35 €,-4880,17874,"0,1104",723198,2023-01-04
??,P@r!s,P.C. tONeR,furniture,instagram,$12842.37,292539,6450,0.0725,113,20-02-2024xx
Germny#,R0me@,Gl0wSerum,beauty,insta!!,21863.89 €,,,"0,2695",644727,
Germany,TORONto,PURECLEAN TONER$,skincare,??,2863.45,N/A,,,631,22-12-2023xx
france%,New_York,pureclean_toner,,??,,347002,16685,"0,0598",121,07-06-2025xx
?   ?,S√£o Paulo$,PuRE_CLeAN_tONER,SKINCARE,FB!!,9075.2,15304,15006,1.3%,0,2023-10-24
BRAZIl,Paris,Hydra_Cream,,INSTAG   RAM,14819.67 €,,6079,??,0,2025-01-25
     Italy,Rome,HYDRA CREAM,electronics,   insta,$19816.61,144774,637,,-4,07-09-2024xx
ESpaNA,,GLOw_SErUM,Skincare,google ads@,budget non communique,397771,??,"0,1601",907236,
ITALY$,São_Paulo,GlowSerum,beauty,goOGleADs,6019.67 €,469365,5729,??,beaucoup,39/12/2099
Italie,sao_paulo%,HydraCr3am,electronics,email,$4141.07,36467,12300,??,991082,17/12/23
usa@,New YoRk,HydraCream,electronics,fb,$12914.22,27284,18914,??,398023,14-11-2023xx
n/a,,Gl0wSerum,Skincare,??,19714.96,350079,??,"0,1197",-46,
,Toronto,HydraCream%,,insta,10131.89 €,7064,??,??,beaucoup,
Japan!!,tokyo   ,Glow_Seru   m,beauty,TikTok%,,N/A,3572486,23.2%,-22,Dec 19 2023
frAnCE,bErlIN,GlowSerum!!,beauty,Billboard$,23 358.58,N/A,??,12.3%,0,41/1/2099
JAPAN@,To   kyo,hydracream!!,Beauty ,billboard,23480.46 €,N/A,??,"0,0071",0,12-02-2025xx
ITALY,paris,gL0Wserum,SKINCARE,google ads@,22 535.94,429085,6499,??,849057,23-08-2025xx
Canada!!,T0KYO,Hyd   raCream,electronics,eMail,19 995.90,36922,969565,,-49,Jan 20 2023
Germny%,São Paulo,   hydracream,skincare,insta@,23313.95 €,,,,beaucoup,2023-01-26
??,,hydracream   ,electronics,E-mail$,$14465.11,,5605,0.1347,-49,05/03/23
EsPaNa,TORONTO,PureCleanToner@,SKINCARE,insta   ,$1701.31,232748,,0.2553,beaucoup,
Italie,sao_paulo%,HYDRA CREAM?,Beauty ,insta,,N/A,3113,??,0,
franSE,tok   yo,GLOw_SErum,electronics,em   ail,18857.03,,16201,0.1613,-32,
JApaN,To   ronto,glowserum,electronics,instagram,budget non communique,196964,??,??,-50,16-12-2024xx
usa,PARIS   ,GlowSerum!!,skincare,TikTok?,23805.9 €,291305,??,32.5%,0,16-10-2024xx
braz   il,###$,HydraCream?,electronics,tik   tok,6876.18,N/A,,,0,06-07-2023xx
Espa√±a%,####,puRe_Clean_tonEr,,email$,21 817.21,356870,1133905,0.1438,110492,
   Spain,São Paulo?,HydraCream,Beauty ,bil   lboard,7563.07,,9595,??,0,2025-12-04
france,TOronto,HY   DRA CREAM,skincare,bILLBoArd,,,3058634,"0,2202",beaucoup,09/05/23
??,New_York,HYDRA CRE   AM,beauty,tiktok,8 049.65,439069,4445157,??,beaucoup,
fRAnce,SAO_PaULo,PureClean Toner,beauty,facebook,budget non communique,N/A,??,"0,2627",733,18/11/24
   Brazil,TORONTO,HydraC   ream,??,E-mail$,7 583.43,N/A,1990,,beaucoup,Dec 17 2024
U.S.A,São_Paulo,gLOWseRum!!,skincare,billboard,,,8632,27.4%,685,Jun 17 2025
GermAnY,madrid,HydraCream,Beauty ,INSTAGRAM,13168.9 €,226168,436,"0,1516",-39,04-12-2025xx
Italie,Rome#,Pure   Clean Toner,skincare,e   mail,$5623.51,N/A,4636101,0.0053,595653,Jun 21 2023
United States!!,R0me,PureCleanToner,skincare,tik tok,10728.46,336604,10213,20.5%,280330,06-01-2024xx
BR   AZIL ,saoPAULo,pureclean toner,beauty,INSTAGRAM,$19133.23,373151,,,-18,16-11-2025xx
Deu   tschland,Rome,Pure_Clean_Toner,,TikTOk,21057.46 €,54236,1486834,0.2555,-33,2025-04-14
japan,Sao Paulo?,glowserum,SKINCARE,instagram%,$8788.91,N/A,17339,29.0%,516,
brAZIl,PARIS___,P.C._Toner,furniture,billboard!!,budget non communique,405888,1256726,,245147,
unkn   own,P@r!s,HydraCr3am,??,Inst   agram,15 685.65,N/A,3776312,,219,24/2/2099
brazi   l,   rome,Gl0WSerum,beauty,faceboo   k,7548.47 €,-2305,1917331,"0,0871",-8,2025-03-18
unkno   wn,ParIS   ,pURe_cLEan_ToNEr,furniture,GoogleAds,22442.26,29288,??,0.2518,110741,43/15/2099
Japan%,SAOPAULO   ,hydRACReAM,Beauty ,Bil   lboard,400.41,280960,??,0.1137,229431,2024-06-20
??@,newyork,pureclean toner,SKINCARE,??,22 314.76,331074,,??,32,24/09/25
Canada,,glowserum!!,skincare,??,$14434.46,-1554,1187,"0,2708",10,16/7/2099
UniTEd sTateS,,HYDR   A CREAM,??,INSTAGRAM,8143.36 €,N/A,8919,6.2%,-33,
JAPAN,São_Paulo,pureclean toner,furniture,InstA,$7645.55,,2398359,18.7%,0,
usa%,   NEW YORK,HydraC   ream,??,insta,7 893.92,,??,"0,0039",0,16-02-2023xx
ge   rmany,Berlin,hydracream   ,beauty,F   B,6 948.75,459647,??,,beaucoup,27/13/2099
JAPAN,sao_paulo,hYDrACrEaM,??,TikTok,19 917.45,,1983131,??,0,2024-02-07
Brazil,Tokyo,PureCleanToner,,BiLlBoarD,8 789.67,N/A,??,??,73,Mar 4 2023
UnItEd StateS,BERLIN,HydraCream!!,,Email,$12078.42,371388,11104,??,beaucoup,22/11/24
Espana,   Madrid,Gl0wSerum%,Skincare,GoogleAds,4146.99 €,434573,,"0,2024",0,2024-03-17
spain,R   ome,HydrACreAm,electronics,emaIL,16 579.43,-3911,??,??,0,2024-11-11
germany,Tokyo%,HYDRACreAm,skincare,Billboard,11589.24,N/A,,??,-21,19/2/2099
U.S.A,###,PUrecLeaN ToNer,furniture,InSTAGram,7088.33,N/A,,"0,1231",0,
  Italy,Rome,hydracream,??,Billboard,2 889.48,,2826776,"0,2804",beaucoup,
usa,MADRID @,Gl0wSerum!!,electronics,Email#,$9892.84,-2143,??,"0,3194",beaucoup,11/05/25
U.S.A,toronto,GlowSerum?,,Goog   leAds,,272440,2537908,??,-16,08/12/23
   JAPAN,t0kYo,glows   erum,,INstAgRam,23 783.15,413848,12119,,beaucoup,15/2/2099
JAPAN@,N3w_Y0rk,Hydra_Cream?,Beauty ,Instagram,6507.18,348925,5404,0.2583,-9,25-04-2025xx
U.s.A,beRLIN,PureCleanToner,beauty,TikTok,20 156.42,,3765145,,565564,Sep 14 2023
ITALY,unk   nown city,PureClean Toner@,,tiktok,10879.81,,7989,"0,12",-45,25-01-2023xx
sPAIN,  Paris,pURECLeaNtONer,SKINCARE,Email,6172.42,N/A,??,0.2856,beaucoup,Jun 1 2024
United_States,N3w   _Y0rk,HYDRa CReaM,beauty,??@,5 496.44,,,,0,07/03/23
Franse,nEW yoRK,HydraCream%,skincare,eMAIL,1469.1,,1114966,??,-45,
canada,tokyo,glowserum@,,INSTAGRAM,12068.16 €,209361,2591181,0.2236,653977,
Spain,B3rlin@,PURECLEAN_TONER,SKINCARE,insta?,,179975,,"0,3005",-15,32/1/2099
Brazil,New York,glowserum,electronics,Email,18945.75,N/A,,"0,3489",-6,03/09/23
Japan,Berlin,HYDRACREAM,,Insta   gram,$9658.54,,,,0,14/01/23
   France,Toronto#,PurEClEan toNEr,SKINCARE,tik tok#,10356.81,6336,,9.0%,beaucoup,Jan 8 2024
FRANCE@,###,Gl0wSer   um,beauty,Goo   gleAds,budget non communique,308549,,"0,2346",beaucoup,08/02/25
Fr@nce,N3w_Y0rk,GlowSerum#,skincare,ti   ktok,5958.84 €,181671,18621,??,509,2023-11-12
FRA   NCE,Sao Paulo,HyDRaCr3am,electronics,Go   ogleAds,budget non communique,237999,13538,??,-36,16/8/2099
  Italy#,TOKY   O,HydraCr3am,electronics,   Email,11333.11,,16685,0.2049,535,Jul 1 2023
Usaa,   Paris,Hydra   Cream,electronics,E   -mail,$6076.66,N/A,2444720,31.6%,0,Feb 14 2024
Germany,Tokyo,hydracream,,T   ikTok,budget non communique,,1820,"0,0601",-10,29/6/2099
GErmAnY,NEW YORK%,PureClean_Toner,,FB,budget non communique,170578,,,-26,06/02/24
UNkNOwN,Rome!!,HYDRA CREAM!!,beauty,   insta,9494.0,N/A,,0.0661,772,
FrANce,T   0kyo,pureClEAn ToNer,,facebook,$10069.74,,??,0.1691,180,2023-02-06
JAPaN,ToKyO,PureCleanToner,,Email,$24690.3,N/A,1905663,34.5%,beaucoup,22-02-2025xx
USAa,toKYO,pureclean toner!!,skincare,Instagram?,,-3292,3140,??,533,02/01/25
,madrid   ,GlowSerum!!,SKINCARE,G   oogleAds,$2375.33,250072,17766,10.5%,-15,
ItALY,Ne   w York,HydraCream,electronics,insta,,179230,2562329,??,947628,26/13/2099
braZiL,sao_paulo!!,PURECLEAN_TONER,furniture,INSTAGRAM,12613.78,N/A,19515,0.2428,beaucoup,May 2 2025
canada,rome,PURECLEAN TONER?,SKINCARE,INsTAgRAM,16756.16 €,,??,"0,1803",0,14/07/25
unknown#,B3rli   n,glOWSEruM!!,Skincare,FB,budget non communique,-1067,,"0,017",-35,
canada,PARIS___,Glow_Serum$,,email,20104.97 €,-3254,??,28.8%,0,25/07/25
,###%,Hydra_Cream,,Billboard!!,,N/A,11955,"0,1086",60,16/12/24
esPA√±a,sao_paulo,PureClean Toner#,furniture,TikTok,,N/A,??,"0,186",beaucoup,02-01-2023xx
France,NEwyork,pureclean_toner,furniture,face   book,$4976.57,-4244,??,"0,2191",0,01/04/25
Ja   ppan,tokyo,Gl0wSerum?,,billboard?,,286372,,??,-32,2025-01-27
japan@,S√£o PaulO,glOW_SErum,electronics,em   ail,,331991,??,4.6%,0,2024-12-13
GErMany,toronto$,pureclean toner$,skincare,Billboa   rd,11354.29,-3043,??,0.316,beaucoup,2023-11-23
JAPAN?,BERLiN,PURECLEAN TONER,furniture,??#,budget non communique,-4081,??,,387,24/11/2099
gERMNy,BErLiN,GLOW_SERUM,SKINCARE,billboard$,$24280.14,N/A,??,??,593,Mar 20 2023
K   anada,berlin!!,GLOW    SERUM,beauty,Instagram$,1 804.95,,,21.8%,648,22/04/23
japan@,SAOPAULO,P   ureCleanToner,skincare,tiktok,11 307.47,442808,??,,602,2025-04-23
   usa,New_York   ,hydracr   eam,??,INSTAGRAM,,-4250,,32.8%,0,25/07/24
JAPAN,  Pari   s,glow   serum,skincare,EmAIl,18732.18,-1807,,,616,
germany@,BER   LIN,PureClean Toner%,,i   nsta,16337.46,,454,,213918,Dec 6 2025
uSA,ROmE,HYDRA CRE   AM,skincare,tIktOK,,439119,5574,"0,0227",252,05-12-2023xx
us   a,sAo_PaUlO,HYDRA_CREAM,??,Email,13887.43 €,277775,3150691,,-36,
Germany,Madrid,hydracream,skincare,INSTAGRAM,9 948.97,-458,??,20.5%,-21,2024-12-16
Fr@nce#,BeRLin,Glow_Serum?,Skincare,Billboard,11802.85,-3581,,??,431541,13/02/25
Us   aa,berlin,HydRaCReaM,,INSTAGRAM%,$11995.02,N/A,??,2.9%,224725,26/04/25
Brazil,Tokyo,pureclean toner%,,GoogleAds,$3241.53,420982,??,,470,8/6/2099
United States%,P@r!s,Gl   owSerum,,E-mail,$21424.5,95308,15046,,0,
germANy,unknown city,Glow_Serum?,beauty,tikto   k,budget non communique,415675,,,beaucoup,2024-08-15
??,  paRis,P.C. Toner%,SKINCARE,TikTok,20 239.90,,13662,"0,1647",-39,2024-02-01
br   azil,Sao_Paulo,GlowSerum!!,skincare,??,3057.42 €,294520,??,0.2412,beaucoup,07/08/23
Brazil,saOPAUlo,HydraCream?,beauty,?   ?,budget non communique,N/A,??,,0,06-09-2023xx
Germany,Paris,PureCleanToner,,Bil   lboard,16056.02,360855,2866958,0.1166,774,09/01/24
,TOKYO,glowserum%,Skincare,   FB,budget non communique,13688,10349,0.0476,-30,
JAPAN,unkn   own city,P.C. Ton   er,skincare,E-mail,750.18,-2193,17792,"0,2152",beaucoup,2024-08-12
unknown,tokyo?,glowserum,Skincare,billboard,22452.17 €,-213,1537782,??,-19,2025-11-08
canada,,PURecLeANTonEr,,INS   TAGRAM,10 451.59,N/A,,0.1899,-28,
United States!!,   newyork,HydraC   ream,Beauty ,Email@,,,5170,0.089,0,17-08-2025xx
JAPAN,berlin@,GLOW_SERUM,SKINCARE,facebook,,N/A,2984277,16.8%,beaucoup,
Canada,PaRIS   ,HydRa CReAM,electronics,TikTo   k,$23166.2,,2406,??,674,Jul 2 2025
United_States,R0Me,hydracream@,,BILLBoaRD,$6080.0,N/A,16213,??,0,
franc   e,São Paulo,pureclean toner,furniture,tiKtOK,5147.53 €,,7153,17.9%,0,21/10/23
,   MADRID ,GlowSerum!!,skincare,GooGlE adS,21995.88 €,420980,,0.0907,557354,25/05/25
